RxPackets;RxTime;RxId;TxId;TxTime;xPos;yPos
462;2997;1;cam data : 8;2993;86;96
463;2997;2;cam data : 8;2993;86;96
464;2997;3;cam data : 8;2993;86;96
465;2997;4;cam data : 8;2993;86;96
466;2997;5;cam data : 8;2993;86;96
467;2997;6;cam data : 8;2993;86;96
468;2997;7;cam data : 8;2993;86;96
469;3019;-1;cam data : 0;3015;65;54
470;3019;1;cam data : 0;3015;65;54
471;3019;2;cam data : 0;3015;65;54
472;3019;3;cam data : 0;3015;65;54
473;3019;4;cam data : 0;3015;65;54
474;3019;5;cam data : 0;3015;65;54
475;3019;6;cam data : 0;3015;65;54
476;3019;7;cam data : 0;3015;65;54
477;3019;8;cam data : 0;3015;65;54
478;3022;0;cam data : -1;3018;66;72
479;3022;1;cam data : -1;3018;66;72
480;3022;2;cam data : -1;3018;66;72
481;3022;3;cam data : -1;3018;66;72
482;3022;4;cam data : -1;3018;66;72
483;3022;5;cam data : -1;3018;66;72
484;3022;6;cam data : -1;3018;66;72
485;3022;7;cam data : -1;3018;66;72
486;3022;8;cam data : -1;3018;66;72
487;3034;-1;cam data : 4;3030;59;25
488;3034;0;cam data : 4;3030;59;25
489;3034;1;cam data : 4;3030;59;25
490;3034;2;cam data : 4;3030;59;25
491;3034;3;cam data : 4;3030;59;25
492;3034;5;cam data : 4;3030;59;25
493;3034;6;cam data : 4;3030;59;25
494;3034;7;cam data : 4;3030;59;25
495;3034;8;cam data : 4;3030;59;25
496;3044;-1;cam data : 4;3040;59;25
497;3044;0;cam data : 4;3040;59;25
498;3044;1;cam data : 4;3040;59;25
499;3044;2;cam data : 4;3040;59;25
500;3044;3;cam data : 4;3040;59;25
501;3044;5;cam data : 4;3040;59;25
502;3044;6;cam data : 4;3040;59;25
503;3044;7;cam data : 4;3040;59;25
504;3044;8;cam data : 4;3040;59;25
505;3058;-1;cam data : 1;3054;71;52
506;3058;0;cam data : 1;3054;71;52
507;3058;2;cam data : 1;3054;71;52
508;3058;3;cam data : 1;3054;71;52
509;3058;4;cam data : 1;3054;71;52
510;3058;5;cam data : 1;3054;71;52
511;3058;6;cam data : 1;3054;71;52
512;3058;7;cam data : 1;3054;71;52
513;3058;8;cam data : 1;3054;71;52
514;3067;-1;cam data : 3;3063;17;55
515;3067;0;cam data : 3;3063;17;55
516;3067;1;cam data : 3;3063;17;55
517;3067;2;cam data : 3;3063;17;55
518;3067;4;cam data : 3;3063;17;55
519;3067;5;cam data : 3;3063;17;55
520;3067;6;cam data : 3;3063;17;55
521;3067;7;cam data : 3;3063;17;55
522;3067;8;cam data : 3;3063;17;55
523;3077;-1;cam data : 7;3073;42;76
524;3077;0;cam data : 7;3073;42;76
525;3077;1;cam data : 7;3073;42;76
526;3077;2;cam data : 7;3073;42;76
527;3077;3;cam data : 7;3073;42;76
528;3077;4;cam data : 7;3073;42;76
529;3077;5;cam data : 7;3073;42;76
530;3077;6;cam data : 7;3073;42;76
531;3077;8;cam data : 7;3073;42;76
532;3079;-1;cam data : 2;3075;5;26
533;3079;0;cam data : 2;3075;5;26
534;3079;1;cam data : 2;3075;5;26
535;3079;3;cam data : 2;3075;5;26
536;3079;4;cam data : 2;3075;5;26
537;3079;5;cam data : 2;3075;5;26
538;3079;6;cam data : 2;3075;5;26
539;3079;7;cam data : 2;3075;5;26
540;3079;8;cam data : 2;3075;5;26
541;3082;-1;cam data : 5;3078;31;25
542;3082;0;cam data : 5;3078;31;25
543;3082;1;cam data : 5;3078;31;25
544;3082;2;cam data : 5;3078;31;25
545;3082;3;cam data : 5;3078;31;25
546;3082;4;cam data : 5;3078;31;25
547;3082;6;cam data : 5;3078;31;25
548;3082;7;cam data : 5;3078;31;25
549;3082;8;cam data : 5;3078;31;25
550;3093;-1;cam data : 6;3089;78;15
551;3093;0;cam data : 6;3089;78;15
552;3093;1;cam data : 6;3089;78;15
553;3093;2;cam data : 6;3089;78;15
554;3093;3;cam data : 6;3089;78;15
555;3093;4;cam data : 6;3089;78;15
556;3093;5;cam data : 6;3089;78;15
557;3093;7;cam data : 6;3089;78;15
558;3093;8;cam data : 6;3089;78;15
559;3097;-1;cam data : 8;3093;86;96
560;3097;0;cam data : 8;3093;86;96
561;3097;1;cam data : 8;3093;86;96
562;3097;2;cam data : 8;3093;86;96
563;3097;3;cam data : 8;3093;86;96
564;3097;4;cam data : 8;3093;86;96
565;3097;5;cam data : 8;3093;86;96
566;3097;6;cam data : 8;3093;86;96
567;3097;7;cam data : 8;3093;86;96
568;3119;-1;cam data : 0;3115;65;54
569;3119;1;cam data : 0;3115;65;54
570;3119;2;cam data : 0;3115;65;54
571;3119;3;cam data : 0;3115;65;54
572;3119;4;cam data : 0;3115;65;54
573;3119;5;cam data : 0;3115;65;54
574;3119;6;cam data : 0;3115;65;54
575;3119;7;cam data : 0;3115;65;54
576;3119;8;cam data : 0;3115;65;54
577;3122;0;cam data : -1;3118;66;72
578;3122;1;cam data : -1;3118;66;72
579;3122;2;cam data : -1;3118;66;72
580;3122;3;cam data : -1;3118;66;72
581;3122;4;cam data : -1;3118;66;72
582;3122;5;cam data : -1;3118;66;72
583;3122;6;cam data : -1;3118;66;72
584;3122;7;cam data : -1;3118;66;72
585;3122;8;cam data : -1;3118;66;72
586;3137;-1;cam data : 8;3133;86;96
587;3137;0;cam data : 8;3133;86;96
588;3137;1;cam data : 8;3133;86;96
589;3137;2;cam data : 8;3133;86;96
590;3137;3;cam data : 8;3133;86;96
591;3137;4;cam data : 8;3133;86;96
592;3137;5;cam data : 8;3133;86;96
593;3137;6;cam data : 8;3133;86;96
594;3137;7;cam data : 8;3133;86;96
595;3143;-1;cam data : 5;3139;31;25
596;3143;0;cam data : 5;3139;31;25
597;3143;1;cam data : 5;3139;31;25
598;3143;2;cam data : 5;3139;31;25
599;3143;3;cam data : 5;3139;31;25
600;3143;4;cam data : 5;3139;31;25
601;3143;6;cam data : 5;3139;31;25
602;3143;7;cam data : 5;3139;31;25
603;3143;8;cam data : 5;3139;31;25
604;3144;-1;cam data : 4;3140;59;25
605;3144;0;cam data : 4;3140;59;25
606;3144;1;cam data : 4;3140;59;25
607;3144;2;cam data : 4;3140;59;25
608;3144;3;cam data : 4;3140;59;25
609;3144;5;cam data : 4;3140;59;25
610;3144;6;cam data : 4;3140;59;25
611;3144;7;cam data : 4;3140;59;25
612;3144;8;cam data : 4;3140;59;25
613;3158;-1;cam data : 1;3154;71;52
614;3158;0;cam data : 1;3154;71;52
615;3158;2;cam data : 1;3154;71;52
616;3158;3;cam data : 1;3154;71;52
617;3158;4;cam data : 1;3154;71;52
618;3158;5;cam data : 1;3154;71;52
619;3158;6;cam data : 1;3154;71;52
620;3158;7;cam data : 1;3154;71;52
621;3158;8;cam data : 1;3154;71;52
622;3167;-1;cam data : 3;3163;17;55
623;3167;0;cam data : 3;3163;17;55
624;3167;1;cam data : 3;3163;17;55
625;3167;2;cam data : 3;3163;17;55
626;3167;4;cam data : 3;3163;17;55
627;3167;5;cam data : 3;3163;17;55
628;3167;6;cam data : 3;3163;17;55
629;3167;7;cam data : 3;3163;17;55
630;3167;8;cam data : 3;3163;17;55
631;3177;-1;cam data : 7;3173;42;76
632;3177;0;cam data : 7;3173;42;76
633;3177;1;cam data : 7;3173;42;76
634;3177;2;cam data : 7;3173;42;76
635;3177;3;cam data : 7;3173;42;76
636;3177;4;cam data : 7;3173;42;76
637;3177;5;cam data : 7;3173;42;76
638;3177;6;cam data : 7;3173;42;76
639;3177;8;cam data : 7;3173;42;76
640;3179;-1;cam data : 2;3175;5;26
641;3179;0;cam data : 2;3175;5;26
642;3179;1;cam data : 2;3175;5;26
643;3179;3;cam data : 2;3175;5;26
644;3179;4;cam data : 2;3175;5;26
645;3179;5;cam data : 2;3175;5;26
646;3179;6;cam data : 2;3175;5;26
647;3179;7;cam data : 2;3175;5;26
648;3179;8;cam data : 2;3175;5;26
649;3193;-1;cam data : 6;3189;78;15
650;3193;0;cam data : 6;3189;78;15
651;3193;1;cam data : 6;3189;78;15
652;3193;2;cam data : 6;3189;78;15
653;3193;3;cam data : 6;3189;78;15
654;3193;4;cam data : 6;3189;78;15
