TxPackets;TxTime;TxId;xPos;yPos
9018;12043;-1;66;72
9027;12047;3;17;55
9036;12064;5;31;25
9045;12092;2;5;26
9054;12098;6;78;15
9063;12102;8;86;96
9072;12115;4;59;25
9081;12127;7;42;76
9090;12137;1;71;52
9099;12139;0;65;54
9108;12143;-1;66;72
9117;12147;3;17;55
9126;12164;5;31;25
9135;12192;2;5;26
9144;12198;6;78;15
9153;12202;8;86;96
9162;12215;4;59;25
9171;12227;7;42;76
9180;12237;1;71;52
9189;12239;0;65;54
9198;12243;-1;66;72
9207;12247;3;17;55
9216;12264;5;31;25
9225;12292;2;5;26
9234;12293;8;86;96
9243;12298;6;78;15
9252;12315;4;59;25
9261;12327;7;42;76
9270;12337;1;71;52
9279;12339;0;65;54
9288;12343;-1;66;72
9297;12347;3;17;55
9306;12364;5;31;25
9315;12392;2;5;26
9324;12393;8;86;96
9333;12398;6;78;15
9342;12415;4;59;25
9351;12417;-1;66;72
9360;12421;0;65;54
9369;12427;7;42;76
9378;12437;1;71;52
9387;12447;3;17;55
9396;12464;5;31;25
9405;12492;2;5;26
9414;12493;8;86;96
9423;12498;6;78;15
9432;12515;4;59;25
9441;12517;-1;66;72
9450;12521;0;65;54
9459;12527;7;42;76
9468;12537;1;71;52
9477;12547;3;17;55
9486;12564;5;31;25
9495;12584;5;31;25
9504;12592;2;5;26
9513;12593;8;86;96
9522;12598;6;78;15
9531;12615;4;59;25
9540;12617;-1;66;72
9549;12621;0;65;54
9558;12627;7;42;76
9567;12637;1;71;52
9576;12647;3;17;55
9585;12684;5;31;25
9594;12692;2;5;26
9603;12693;8;86;96
9612;12698;6;78;15
9621;12715;4;59;25
9630;12717;-1;66;72
9639;12721;0;65;54
9648;12723;7;42;76
9657;12729;6;78;15
9666;12737;1;71;52
9675;12747;3;17;55
9684;12784;5;31;25
9693;12792;2;5;26
9702;12793;8;86;96
9711;12806;8;86;96
9720;12815;4;59;25
9729;12817;-1;66;72
9738;12821;0;65;54
9747;12823;7;42;76
9756;12829;6;78;15
9765;12837;1;71;52
9774;12847;3;17;55
9783;12884;5;31;25
9792;12892;2;5;26
9801;12906;8;86;96
9810;12915;4;59;25
9819;12917;-1;66;72
9828;12921;0;65;54
9837;12923;7;42;76
9846;12929;6;78;15
9855;12937;1;71;52
9864;12947;3;17;55
9873;12980;1;71;52
9882;12984;5;31;25
9891;12992;2;5;26
9900;13006;8;86;96
9909;13015;4;59;25
9918;13017;-1;66;72
9927;13021;0;65;54
9936;13023;7;42;76
9945;13029;6;78;15
9954;13047;3;17;55
9963;13080;1;71;52
9972;13084;5;31;25
9981;13092;2;5;26
9990;13106;8;86;96
9999;13111;5;31;25
10008;13114;-1;66;72
10017;13115;4;59;25
10026;13119;0;65;54
10035;13120;3;17;55
10044;13123;7;42;76
10053;13129;6;78;15
10062;13167;2;5;26
10071;13180;1;71;52
10080;13206;8;86;96
10089;13211;5;31;25
10098;13214;-1;66;72
